,reaction_id,rxn_smiles,DG_TS
2259,2809,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][nH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:9]1[cH:8][c:7]([O:6][CH3:5])[nH:11][cH:10]1,8.2
2260,2810,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[nH:8][cH:9][cH:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[nH:8][cH:9][cH:10]1,8.7
2261,2811,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][nH:9][cH:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:10]1[nH:9][cH:8][c:7]([O:6][CH3:5])[cH:11]1,6.4
2262,2812,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][nH:9][cH:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][nH:9][cH:10]1,9.6
2263,2813,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][nH:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][cH:9][nH:10]1,5.4
2264,2814,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][nH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH3:8])[nH:7]1,16.2
2265,2815,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][nH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH3:8])[cH:6][nH:7]1,19.8
2266,2816,[CH3:1][O:2][c:3]1[nH:4][cH:5][cH:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[nH:4][cH:5][cH:6][c:7]1[CH3:8],20.5
2267,2817,[CH3:1][O:2][c:3]1[cH:4][nH:5][cH:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][nH:5][c:6]([CH3:8])[cH:7]1,16.4
2268,2818,[CH3:1][O:2][c:3]1[cH:4][nH:5][cH:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][nH:5][cH:6][c:7]1[CH3:8],20.3
2270,2820,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][nH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[nH:7]1,11.0
2271,2821,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][nH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][c:5](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:6][nH:7]1,14.3
2272,2822,[CH3:1][O:2][c:3]1[nH:4][cH:5][cH:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[nH:4][cH:5][cH:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,14.2
2273,2823,[CH3:1][O:2][c:3]1[cH:4][nH:5][cH:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][nH:5][c:6](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:7]1,11.6
2274,2824,[CH3:1][O:2][c:3]1[cH:4][nH:5][cH:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][nH:5][cH:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,14.3
2275,2825,[CH3:1][O:2][c:3]1[cH:4][cH:5][nH:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][nH:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,10.3
2276,2826,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][nH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:10]1[cH:9][cH:8][c:7]([O:6][CH3:5])[nH:11]1,18.6
2277,2827,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][nH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:9]1[cH:8][c:7]([O:6][CH3:5])[nH:11][cH:10]1,22.4
2278,2828,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[nH:8][cH:9][cH:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[nH:8][cH:9][cH:10]1,24.9
2279,2829,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][nH:9][cH:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:10]1[nH:9][cH:8][c:7]([O:6][CH3:5])[cH:11]1,18.3
2280,2830,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][nH:9][cH:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][nH:9][cH:10]1,24.0
2281,2831,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][nH:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][cH:9][nH:10]1,18.4
2282,2832,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][cH:11][s:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:11]1[cH:10][cH:9][c:8]([O:7][CH3:6])[s:12]1,19.3
2283,2833,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][cH:11][s:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:10]1[cH:9][c:8]([O:7][CH3:6])[s:12][cH:11]1,22.6
2284,2834,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[s:9][cH:10][cH:11][cH:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[c:8]([O:7][CH3:6])[s:9][cH:10][cH:11]1,24.9
2285,2835,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][s:10][cH:11][cH:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:11]1[s:10][cH:9][c:8]([O:7][CH3:6])[cH:12]1,20.0
2286,2836,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][s:10][cH:11][cH:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[c:8]([O:7][CH3:6])[cH:9][s:10][cH:11]1,24.2
2287,2837,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][s:11][cH:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[c:8]([O:7][CH3:6])[cH:9][cH:10][s:11]1,18.8
2288,2838,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][s:11]1>>[C:1]([F:2])([F:3])([F:4])[c:10]1[cH:9][cH:8][c:7]([O:6][CH3:5])[s:11]1,7.3
2289,2839,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][s:11]1>>[C:1]([F:2])([F:3])([F:4])[c:9]1[cH:8][c:7]([O:6][CH3:5])[s:11][cH:10]1,8.8
2290,2840,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[s:8][cH:9][cH:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[s:8][cH:9][cH:10]1,9.5
2291,2841,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][s:9][cH:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:10]1[s:9][cH:8][c:7]([O:6][CH3:5])[cH:11]1,8.3
2292,2842,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][s:9][cH:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][s:9][cH:10]1,9.9
2293,2843,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][s:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][cH:9][s:10]1,6.6
2294,2844,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][s:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH3:8])[s:7]1,15.4
2295,2845,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][s:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH3:8])[cH:6][s:7]1,17.6
2296,2846,[CH3:1][O:2][c:3]1[s:4][cH:5][cH:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[s:4][cH:5][cH:6][c:7]1[CH3:8],18.4
2297,2847,[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][s:5][c:6]([CH3:8])[cH:7]1,15.0
2298,2848,[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][c:7]1[CH3:8],17.4
2299,2849,[CH3:1][O:2][c:3]1[cH:4][cH:5][s:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][s:6][c:7]1[CH3:8],14.3
2300,2850,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][s:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[s:7]1,11.5
2301,2851,[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][s:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][c:5](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:6][s:7]1,13.1
2302,2852,[CH3:1][O:2][c:3]1[s:4][cH:5][cH:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[s:4][cH:5][cH:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,13.5
2303,2853,[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][s:5][c:6](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[cH:7]1,11.3
2304,2854,[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,13.0
2305,2855,[CH3:1][O:2][c:3]1[cH:4][cH:5][s:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][s:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,10.9
2306,2856,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][s:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:10]1[cH:9][cH:8][c:7]([O:6][CH3:5])[s:11]1,16.4
2307,2857,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][s:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:9]1[cH:8][c:7]([O:6][CH3:5])[s:11][cH:10]1,19.4
2308,2858,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[s:8][cH:9][cH:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[s:8][cH:9][cH:10]1,20.9
2309,2859,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][s:9][cH:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:10]1[s:9][cH:8][c:7]([O:6][CH3:5])[cH:11]1,15.7
2310,2860,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][s:9][cH:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][s:9][cH:10]1,20.2
2311,2861,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][s:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[cH:8][cH:9][s:10]1,16.1
2312,2864,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[n:9][cH:10][s:11][cH:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[c:8]([O:7][CH3:6])[n:9][cH:10][s:11]1,18.6
2313,2865,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][s:10][cH:11][n:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:11]1[s:10][cH:9][c:8]([O:7][CH3:6])[n:12]1,18.7
2314,2866,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][n:10][cH:11][s:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:11]1[n:10][cH:9][c:8]([O:7][CH3:6])[s:12]1,19.3
2315,2867,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[s:9][cH:10][n:11][cH:12]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[c:8]([O:7][CH3:6])[s:9][cH:10][n:11]1,23.1
2316,2870,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[n:8][cH:9][s:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[n:8][cH:9][s:10]1,7.5
2317,2871,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][s:9][cH:10][n:11]1>>[C:1]([F:2])([F:3])([F:4])[c:10]1[s:9][cH:8][c:7]([O:6][CH3:5])[n:11]1,8.1
2318,2872,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][n:9][cH:10][s:11]1>>[C:1]([F:2])([F:3])([F:4])[c:10]1[n:9][cH:8][c:7]([O:6][CH3:5])[s:11]1,8.3
2319,2873,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[s:8][cH:9][n:10][cH:11]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[c:7]([O:6][CH3:5])[s:8][cH:9][n:10]1,8.6
2320,2876,[CH3:1][O:2][c:3]1[n:4][cH:5][s:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[n:4][cH:5][s:6][c:7]1[CH3:8],14.0
2321,2877,[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][n:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][s:5][c:6]([CH3:8])[n:7]1,12.5
2322,2878,[CH3:1][O:2][c:3]1[cH:4][n:5][cH:6][s:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[cH:4][n:5][c:6]([CH3:8])[s:7]1,13.3
2323,2879,[CH3:1][O:2][c:3]1[s:4][cH:5][n:6][cH:7]1.[CH3:8]>>[CH3:1][O:2][c:3]1[s:4][cH:5][n:6][c:7]1[CH3:8],17.0
2324,2882,[CH3:1][O:2][c:3]1[n:4][cH:5][s:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[n:4][cH:5][s:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,10.9
2325,2883,[CH3:1][O:2][c:3]1[cH:4][s:5][cH:6][n:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][s:5][c:6](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[n:7]1,10.6
2326,2884,[CH3:1][O:2][c:3]1[cH:4][n:5][cH:6][s:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[cH:4][n:5][c:6](-[c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[s:7]1,11.4
2327,2885,[CH3:1][O:2][c:3]1[s:4][cH:5][n:6][cH:7]1.[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[CH3:1][O:2][c:3]1[s:4][cH:5][n:6][c:7]1-[c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1,13.3
2328,2888,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[n:8][cH:9][s:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[n:8][cH:9][s:10]1,15.4
2329,2889,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][s:9][cH:10][n:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:10]1[s:9][cH:8][c:7]([O:6][CH3:5])[n:11]1,12.3
2330,2890,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[cH:8][n:9][cH:10][s:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:10]1[n:9][cH:8][c:7]([O:6][CH3:5])[s:11]1,14.1
2331,2891,[C:1]([CH3:2])([CH3:3])[CH3:4].[CH3:5][O:6][c:7]1[s:8][cH:9][n:10][cH:11]1>>[C:1]([CH3:2])([CH3:3])([CH3:4])[c:11]1[c:7]([O:6][CH3:5])[s:8][cH:9][n:10]1,20.0
2332,2892,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][cH:9][n:10][c:11]1[C:12]#[N:13]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][cH:9][n:10][c:11]1[C:12]#[N:13],23.4
2333,2893,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][n:9][c:10]([C:11]#[N:12])[cH:13]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][n:9][c:10]([C:11]#[N:12])[cH:13]1,24.3
2334,2894,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][c:9]([C:10]#[N:11])[n:12][cH:13]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][c:9]([C:10]#[N:11])[n:12][cH:13]1,22.5
2335,2895,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][cH:9][c:10]([C:11]#[N:12])[n:13]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][cH:9][c:10]([C:11]#[N:12])[n:13]1,24.9
2336,2896,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[n:9][cH:10][cH:11][cH:12][cH:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[c:8]([O:7][CH3:6])[n:9][cH:10][cH:11][cH:12]1,21.7
2337,2897,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][cH:11][cH:12][n:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:10]1[cH:9][c:8]([O:7][CH3:6])[n:13][cH:12][cH:11]1,29.1
2338,2898,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][cH:11][cH:12][n:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:11]1[cH:10][cH:9][c:8]([O:7][CH3:6])[n:13][cH:12]1,28.6
2339,2899,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][cH:11][cH:12][n:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][cH:10][cH:9][c:8]([O:7][CH3:6])[n:13]1,28.2
2340,2900,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][cH:8][cH:9][cH:10][c:11]1[C:12]#[N:13]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][cH:8][cH:9][cH:10][c:11]1[C:12]#[N:13],22.5
2341,2901,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][n:9][cH:10][c:11]1[C:12]#[N:13]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][n:9][cH:10][c:11]1[C:12]#[N:13],23.2
2342,2902,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][n:8][cH:9][c:10]([C:11]#[N:12])[cH:13]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][n:8][cH:9][c:10]([C:11]#[N:12])[cH:13]1,24.6
2343,2903,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][cH:8][c:9]([C:10]#[N:11])[cH:12][n:13]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][cH:8][c:9]([C:10]#[N:11])[cH:12][n:13]1,22.8
2344,2904,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][cH:11][n:12][cH:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[c:8]([O:7][CH3:6])[cH:9][cH:10][cH:11][n:12]1,22.3
2345,2905,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][n:10][cH:11][cH:12][cH:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[c:8]([O:7][CH3:6])[cH:9][n:10][cH:11][cH:12]1,22.7
2346,2906,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][n:10][cH:11][cH:12][cH:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[cH:11][n:10][cH:9][c:8]([O:7][CH3:6])[cH:13]1,24.1
2347,2907,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][cH:11][n:12][cH:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:11]1[cH:10][cH:9][c:8]([O:7][CH3:6])[cH:13][n:12]1,23.6
2348,2908,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][c:8]([C:9]#[N:10])[cH:11][cH:12][n:13]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][c:8]([C:9]#[N:10])[cH:11][cH:12][n:13]1,24.3
2349,2909,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][n:8][cH:9][cH:10][c:11]1[C:12]#[N:13]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][n:8][cH:9][cH:10][c:11]1[C:12]#[N:13],22.0
2350,2910,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][n:11][cH:12][cH:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:12]1[n:11][cH:10][cH:9][c:8]([O:7][CH3:6])[cH:13]1,25.1
2351,2911,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][n:11][cH:12][cH:13]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[c:8]([O:7][CH3:6])[cH:9][cH:10][n:11][cH:12]1,23.4
2352,2912,[C:1]([F:2])([F:3])[F:4].[N:5]#[C:6][c:7]1[n:8][cH:9][cH:10][cH:11][cH:12]1>>[C:1]([F:2])([F:3])([F:4])[c:12]1[c:7]([C:6]#[N:5])[n:8][cH:9][cH:10][cH:11]1,10.9
2353,2913,[C:1]([F:2])([F:3])[F:4].[N:5]#[C:6][c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1>>[C:1]([F:2])([F:3])([F:4])[c:9]1[cH:8][c:7]([C:6]#[N:5])[n:12][cH:11][cH:10]1,11.9
2355,2915,[C:1]([F:2])([F:3])[F:4].[N:5]#[C:6][c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[cH:10][cH:9][cH:8][c:7]([C:6]#[N:5])[n:12]1,11.7
2356,2916,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[n:8][cH:9][cH:10][cH:11][cH:12]1>>[C:1]([F:2])([F:3])([F:4])[c:12]1[c:7]([O:6][CH3:5])[n:8][cH:9][cH:10][cH:11]1,9.3
2357,2917,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1>>[C:1]([F:2])([F:3])([F:4])[c:9]1[cH:8][c:7]([O:6][CH3:5])[n:12][cH:11][cH:10]1,15.6
2358,2918,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1>>[C:1]([F:2])([F:3])([F:4])[c:10]1[cH:9][cH:8][c:7]([O:6][CH3:5])[n:12][cH:11]1,14.7
2359,2919,[C:1]([F:2])([F:3])[F:4].[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][cH:11][n:12]1>>[C:1]([F:2])([F:3])([F:4])[c:11]1[cH:10][cH:9][cH:8][c:7]([O:6][CH3:5])[n:12]1,14.5
2360,2920,[C:1]([F:2])([F:3])[F:4].[N:5]#[C:6][c:7]1[cH:8][cH:9][cH:10][n:11][cH:12]1>>[C:1]([F:2])([F:3])([F:4])[c:12]1[c:7]([C:6]#[N:5])[cH:8][cH:9][cH:10][n:11]1,10.5
