,reaction_id,rxn_smiles,DG_TS
33,39,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][cH:13][s:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[cH:12][n:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14]1,20.8
34,40,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][s:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][s:14]1,20.9
35,41,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[s:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[s:7][cH:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],22.4
36,42,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][s:12][cH:13][n:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[s:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:14]1,20.2
37,43,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[n:11][cH:12][s:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[n:11][cH:12][s:13]1,24.1
38,44,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[s:14]1>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][cH:8][c:9]([C:10]([F:11])([F:12])[F:13])[s:14]1,20.5
39,45,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[n:7][cH:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[n:7][cH:8][s:9][c:10]1[C:11]([F:12])([F:13])[F:14],23.8
40,46,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[cH:11][n:12][cH:13][s:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:13]1[n:12][cH:11][c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:14]1,19.4
41,47,[C:1]([CH3:2])([CH3:3])[C:4]#[N:5].[CH3:6][C:7]([CH3:8])([CH3:9])[c:10]1[s:11][cH:12][n:13][cH:14]1>>[C:1]([CH3:2])([CH3:3])([C:4]#[N:5])[c:14]1[c:10]([C:7]([CH3:6])([CH3:8])[CH3:9])[s:11][cH:12][n:13]1,27.1
42,48,[CH3:1][C:2]([CH3:3])[C:4]#[N:5].[cH:6]1[cH:7][s:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14]>>[CH3:1][C:2]([CH3:3])([C:4]#[N:5])[c:6]1[cH:7][s:8][n:9][c:10]1[C:11]([F:12])([F:13])[F:14],27.8
