,rxn_id,predicted
601,2928,12.252487
602,2929,12.722399
603,2930,13.286386
604,2931,15.689483
605,2932,12.407959
606,2933,12.590504
607,2934,13.046977
608,2935,14.572324
609,2936,14.02113
610,2937,16.717125
611,2938,16.541267
612,2939,20.939194
613,2940,18.591043
614,2941,13.431509
615,2942,14.976872
616,2943,16.579407
617,2944,12.262116
618,2945,12.606771
619,2946,15.496821
620,2947,12.30235
621,2948,15.197854
622,2949,14.448429
623,2950,10.236981
624,2951,9.351484
625,2952,17.165516
626,2953,9.448016
627,2954,12.041875
628,2955,15.289897
629,2956,12.117409
630,2957,13.252603
631,2958,23.091063
632,2959,16.706556
633,2960,14.906236
634,2961,12.162934
635,2962,11.699955
636,2963,16.214481
637,2964,13.070678
638,2965,15.029994
639,2966,17.743328
640,2967,12.230365
641,2968,12.5215225
642,2969,15.179734
643,2970,11.856674
644,2971,14.433041
645,2972,22.07075
646,2973,11.971986
647,2974,11.429062
648,2975,15.1054945
649,2976,12.298342
650,2977,14.855031
651,2978,10.786078
652,2979,13.9385
653,2980,16.162193
654,2981,20.730265
655,2982,16.807188
656,2983,11.901494
657,2984,16.46546
658,2985,10.090224
659,2986,15.485679
660,2987,10.650534
661,2988,17.466806
662,2989,11.579838
663,2990,11.57115
664,2991,11.591356
665,2992,11.468426
666,2993,9.426705
667,2994,14.765533
668,2995,16.362015
669,2996,16.207987
670,2997,12.43579
671,2998,12.301588
672,2999,10.068362
673,3000,12.494562
674,3001,12.809984
675,3002,15.374242
676,3003,9.517688
677,3004,15.122685
678,3005,10.812447
679,3006,12.481621
680,3007,16.363882
681,3008,14.851224
682,3009,17.388897
683,3010,9.987531
684,3011,17.748842
685,3013,14.371484
686,3014,14.0616865
687,3015,15.958913
688,3016,13.214662
689,3017,12.12122
690,3018,13.442369
691,3019,15.462859
692,3020,18.985506
693,3021,11.482141
694,3022,13.557709
695,3023,21.807861
696,3024,12.331812
697,3025,14.389648
698,3026,12.669894
699,3027,11.540875
700,3028,16.183723
701,3029,11.952512
702,3030,14.865569
703,3031,11.768884
704,3032,12.9118805
705,3033,12.31966
706,3034,13.488868
707,3035,9.911319
708,3036,17.335258
709,3037,12.546861
710,3038,11.128717
711,3039,13.600691
712,3040,11.892067
713,3041,15.21054
714,3042,14.764029
715,3043,11.236403
716,3044,16.92042
717,3045,14.654201
718,3046,15.16005
719,3047,11.666145
720,3048,13.301814
721,3049,12.030574
722,3051,11.213296
723,3052,13.36715
724,3053,18.55582
725,3054,16.46674
726,3055,12.060512
727,3057,12.898591
728,3058,20.682281
729,3059,11.862814
730,3060,13.008738
731,3061,14.50682
732,3062,14.136902
733,3063,10.141889
734,3064,12.627466
735,3065,13.1520405
736,3066,15.365457
737,3067,22.276896
738,3068,17.006329
739,3069,14.041837
740,3070,12.619137
741,3073,13.910189
742,3074,12.061625
743,3075,16.019575
744,3076,14.364834
745,3078,15.878675
746,3079,23.147545
747,3080,11.770651
748,3081,18.84115
749,3082,12.848267
750,3083,15.760659
751,3084,14.421292
752,3086,12.655716
753,3087,11.618781
754,3088,14.636083
755,3089,11.951693
756,3090,11.655621
757,3091,21.475548
758,3092,15.302016
759,3093,12.987068
760,3094,14.121141
761,3095,15.14035
762,3096,12.489787
763,3097,13.278421
764,3098,15.102151
765,3100,15.9528265
766,3101,12.152878
767,3102,10.020463
768,3103,13.504776
769,3104,17.904068
770,3105,22.167133
771,3106,10.48736
772,3107,20.689384
773,3108,15.836321
774,3109,11.957505
775,3111,12.255624
776,3112,13.249485
777,3113,17.52339
778,3114,13.038962
779,3115,13.292564
780,3117,13.360786
781,3119,15.49614
782,3120,12.392583
783,3121,10.177649
784,3122,11.671024
785,3123,14.272921
786,3124,16.898436
787,3125,11.552565
788,3127,10.44001
789,3128,14.079776
790,3129,14.23666
791,3130,13.829784
792,3132,14.544674
793,3133,14.157202
794,3134,11.193501
795,3135,13.220199
796,3136,16.67121
797,3138,17.53096
798,3139,9.828067
799,3140,14.061321
800,3141,22.088491
801,3142,17.308546
802,3143,12.475695
803,3144,11.692106
804,3145,13.835305
805,3146,17.082932
806,3147,13.212114
807,3148,20.223972
808,3149,17.52962
809,3150,14.754209
810,3151,9.628437
811,3152,12.156945
812,3153,11.50215
813,3154,15.293247
814,3155,12.620448
815,3156,13.604938
816,3157,11.475046
817,3158,17.351511
818,3159,21.057297
819,3160,12.748861
820,3161,14.95953
821,3162,21.165968
822,3163,21.458647
823,3164,15.102033
824,3165,14.674592
825,3166,12.951268
826,3167,14.0124855
827,3168,18.413916
828,3169,12.3362
829,3170,12.861078
830,3171,15.267342
831,3172,17.051723
832,3173,12.81132
833,3174,12.807754
834,3175,11.584034
835,3176,15.123172
836,3177,22.138346
837,3178,14.0893545
838,3179,10.141217
839,3180,15.64352
840,3181,12.034766
841,3182,16.42476
842,3183,13.244733
843,3184,22.583084
844,3185,19.8538
845,3186,18.511362
846,3187,14.509953
847,3188,14.587401
848,3189,12.725732
849,3190,20.380062
850,3191,16.335178
851,3192,15.10621
852,3193,15.732185
